SPACINI29 — Cross-filename Hamming distances (128-bit dHash, threshold=6)

Run: 2026-06-26  |  172 images  |  skip-classification
No cross-filename pairs fell within the KO threshold (≤6). Closest false-positive candidate starts at 7.


Note: duplicate rows appear because the same image is present twice in the 172-image batch
(once from RAW IMAGES folder, once from the zip). The zip copy has the same filename so it
gets grouped and KO'd correctly — its row is the second occurrence of each pair.

Key observations:
- Threshold=6, closest cross-filename pair=7 → 1-bit safety margin
- The four singleton images (24211511_76/86/96_A, 24211513_76_A) don't appear at all
  → their Hamming distances from all other products are > 15 on the 128-bit hash
- Pairs at dist 7-9 are genuinely very similar shots (same product code variants,
  e.g. 23231038 vs 23231040 are both _02 colourways of the same garment range)



dist |  Image A                    ↔  Image B
  14 |  23211094_35_B.jpg          ↔  23231073_08_B.jpg
  14 |  23211056_35_A.jpg          ↔  23211116_08_A.jpg
  15 |  23231072_08_B.jpg          ↔  23231073_08_B.jpg
  15 |  23231072_08_B.jpg          ↔  23231073_08_B.jpg
  15 |  23211066_56_A.jpg          ↔  23211080_83_A.jpg
  15 |  23231007_02_A.jpg          ↔  23231040_02_A.jpg
  15 |  23211008_02_A.jpg          ↔  23211027_56_A.jpg
  15 |  23211018_56_B.jpg          ↔  23211115_08_B.jpg
  15 |  23211018_56_B.jpg          ↔  23211115_08_B.jpg
  15 |  23211027_56_A.jpg          ↔  23231038_02_A.jpg
  15 |  23211027_56_A.jpg          ↔  23231038_02_A.jpg
  15 |  23211041_02_A.jpg          ↔  23211527_83_A.jpg
  15 |  23211041_02_A.jpg          ↔  23211527_83_A.jpg
  15 |  23211056_35_A.jpg          ↔  23211080_06_A.jpg
  15 |  23231007_02_A.jpg          ↔  23231040_02_A.jpg
  15 |  23211056_35_A.jpg          ↔  23211089_56_A.jpg
  15 |  23211056_35_A.jpg          ↔  23211080_06_A.jpg
  15 |  23211056_35_A.jpg          ↔  23211089_56_A.jpg
  15 |  23211056_35_A.jpg          ↔  23231007_02_A.jpg
  15 |  23211066_56_A.jpg          ↔  23211080_83_A.jpg
  15 |  23211088_56_B.jpg          ↔  23231023_52_B.jpg
  15 |  23211088_56_B.jpg          ↔  23231023_52_B.jpg
  15 |  23231006_02_A.jpg          ↔  23231038_02_A.jpg
  15 |  23231006_02_A.jpg          ↔  23231038_02_A.jpg
  15 |  23211056_35_A.jpg          ↔  23231007_02_A.jpg
  15 |  23211008_02_A.jpg          ↔  23211027_56_A.jpg
